,ra,dec,ra_bary,dec_bary,flux,ipix
0,45.0,1.1937484371410676,45.081978,1.1515002,69.29524,0
1,46.40625,2.388015463268772,46.36963,2.2122843,77.71995,1
2,43.59374999999999,2.388015463268772,43.531612,2.2340868,89.85848,2
3,45.0,3.5833216984719627,45.473454,4.0290594,452.78516,3
4,47.8125,3.5833216984719627,47.681572,3.5283263,50.756046,4
5,49.21875,4.780191847199163,49.134525,4.799118,42.961395,5
6,46.40625,4.780191847199163,46.15276,4.7247086,77.26491,6
7,47.8125,5.979156796301311,47.9574,6.3535147,73.887024,7
8,42.1875,3.5833216984719627,42.35981,3.5432274,46.424904,8
9,43.59374999999999,4.780191847199163,43.88658,4.670345,94.18354,9
10,40.78124999999999,4.780191847199163,40.85537,4.817469,66.50147,10
11,42.1875,5.979156796301311,42.104843,6.0506268,46.32761,11
12,45.0,5.979156796301311,45.141445,5.886945,96.77797,12
13,46.40625,7.180755781458274,46.682316,7.093834,65.71706,13
14,43.59374999999999,7.180755781458274,43.596653,7.126948,55.429867,14
15,45.0,8.385538647081319,44.83664,8.600718,113.3563,15
16,50.62499999999999,5.979156796301311,50.874664,5.942148,43.14112,16
17,52.03125,7.180755781458274,52.16801,7.2634554,49.81998,17
18,49.21875,7.180755781458274,49.285976,7.1875806,56.290203,18
19,50.62499999999999,8.385538647081319,51.069775,8.934169,246.33076,19
20,53.4375,8.385538647081319,53.454105,8.448934,54.947815,20
21,54.84375,9.594068226860458,54.88069,9.649901,52.858795,21
22,52.03125,9.594068226860458,51.93717,9.66897,219.04485,22
23,53.4375,10.806922874860334,53.238087,10.799215,59.090504,23
24,47.8125,8.385538647081319,47.60488,8.464341,55.80948,24
25,49.21875,9.594068226860458,49.236843,9.497451,46.210964,25
26,46.40625,9.594068226860458,46.529655,9.578446,49.663643,26
27,47.8125,10.806922874860334,47.747547,10.9356165,79.64484,27
28,50.62499999999999,10.806922874860334,50.79722,10.816307,26.83222,28
29,52.03125,12.024699180565818,52.15797,11.809878,106.16709,29
30,49.21875,12.024699180565818,49.42487,12.254762,44.592842,30
31,50.62499999999999,13.24801490567694,50.737877,13.095982,65.295296,31
32,39.375,5.979156796301311,39.28335,5.844374,134.22687,32
33,40.78124999999999,7.180755781458274,40.816864,7.1343884,45.62443,33
34,37.96875,7.180755781458274,38.458508,7.110921,93.41082,34
35,39.375,8.385538647081319,39.444252,8.176973,96.150024,35
36,42.1875,8.385538647081319,42.206482,8.36693,45.944817,36
37,43.59374999999999,9.594068226860458,43.58341,9.516861,92.51487,37
38,40.78124999999999,9.594068226860458,41.075188,10.02711,139.8188,38
39,42.1875,10.806922874860334,42.227604,10.851378,41.729355,39
40,36.5625,8.385538647081319,36.914074,8.436834,137.35739,40
41,37.96875,9.594068226860458,37.751923,9.499409,67.89614,41
42,35.15624999999999,9.594068226860458,35.280785,9.698499,57.199657,42
43,36.5625,10.806922874860334,36.467705,10.680122,119.94418,43
44,39.375,10.806922874860334,39.66622,10.733082,62.5286,44
45,40.78124999999999,12.024699180565818,41.04823,12.229965,88.292534,45
46,37.96875,12.024699180565818,38.108543,11.996918,56.3798,46
47,39.375,13.24801490567694,39.319588,13.054144,95.59372,47
48,45.0,10.806922874860334,45.126087,10.738097,106.17465,48
49,46.40625,12.024699180565818,46.455738,11.913835,54.18022,49
50,43.59374999999999,12.024699180565818,43.481937,12.029581,41.840927,50
51,45.0,13.24801490567694,44.93576,13.265227,50.633938,51
52,47.8125,13.24801490567694,47.36929,13.263794,114.094765,52
53,49.21875,14.477512185929925,49.241806,14.535834,60.545574,53
54,46.40625,14.477512185929925,46.418472,14.407113,62.418182,54
55,47.8125,15.713861048008212,47.83015,15.749869,76.3854,55
56,42.1875,13.24801490567694,42.143463,13.290194,59.321407,56
57,43.59374999999999,14.477512185929925,43.66165,14.478655,88.51921,57
58,40.78124999999999,14.477512185929925,40.876152,14.743733,80.04943,58
59,42.1875,15.713861048008212,42.286438,15.464179,98.90085,59
60,45.0,15.713861048008212,45.176304,15.782406,81.19711,60
61,46.40625,16.957763300004146,46.682003,17.10286,57.910366,61
62,43.59374999999999,16.957763300004146,43.50436,16.78989,74.14488,62
63,45.0,18.209956864283,44.240936,18.23965,239.37112,63
64,56.24999999999999,10.806922874860334,56.656998,10.886326,101.12171,64
65,57.65624999999999,12.024699180565818,57.5978,12.160199,70.294815,65
66,54.84375,12.024699180565818,54.84197,12.119548,47.31726,66
67,56.24999999999999,13.24801490567694,56.237175,13.175957,60.776756,67
68,59.0625,13.24801490567694,59.072872,13.278555,58.92644,68
69,60.46875,14.477512185929925,60.57105,14.339734,88.22975,69
70,57.65624999999999,14.477512185929925,57.614384,14.45049,54.9324,70
71,59.0625,15.713861048008212,59.110756,15.616465,74.50482,71
72,53.4375,13.24801490567694,52.901543,13.043903,179.06145,72
73,54.84375,14.477512185929925,54.91891,14.428688,77.42176,73
74,52.03125,14.477512185929925,52.062172,14.488485,51.18108,74
75,53.4375,15.713861048008212,53.610954,15.592094,78.55357,75
76,56.24999999999999,15.713861048008212,56.28245,15.843612,60.687675,76
77,57.65624999999999,16.957763300004146,57.821766,17.038406,96.994675,77
78,54.84375,16.957763300004146,54.87348,16.904692,90.87642,78
79,56.24999999999999,18.209956864283,56.252285,18.240767,53.36212,79
80,61.87499999999999,15.713861048008212,61.93442,15.642997,92.36083,80
81,63.281249999999986,16.957763300004146,63.156,17.064287,75.73525,81
82,60.46875,16.957763300004146,60.47612,17.091291,81.3525,82
83,61.87499999999999,18.209956864283,62.01267,17.995098,105.433784,83
84,64.6875,18.209956864283,64.82695,18.291817,92.59937,84
85,66.09374999999999,19.47122063449069,66.830414,19.234861,316.76083,85
86,63.281249999999986,19.47122063449069,63.139137,19.535658,103.91587,86
87,64.6875,20.742379954487134,64.8353,20.960047,258.15085,87
88,59.0625,18.209956864283,59.204765,18.254366,90.139854,88
89,60.46875,19.47122063449069,60.45083,19.65122,77.25696,89
90,57.65624999999999,19.47122063449069,57.710125,19.47177,58.040432,90
91,59.0625,20.742379954487134,59.043438,20.801775,98.957985,91
92,61.87499999999999,20.742379954487134,61.830814,20.738882,79.814156,92
93,63.281249999999986,22.02431283704216,63.307556,22.231838,89.808136,93
94,60.46875,22.02431283704216,60.895214,22.019009,216.33418,94
